x,concentration,potential
0.390625,0.715625221247,0.0209381696978
1.171875,0.715146948967,0.0414396972912
1.953125,0.714457577688,0.0615050107797
2.734375,0.713681264388,0.0811346631477
3.515625,0.712876009053,0.10032925679
4.296875,0.712069194671,0.119089411244
5.078125,0.711273999418,0.13741574685
5.859375,0.710496988579,0.155308877812
6.640625,0.709741636835,0.172769410659
7.421875,0.709009967438,0.189797943898
8.203125,0.708303315605,0.206395068285
8.984375,0.707622680123,0.222561369583
9.765625,0.706968874765,0.238297428554
10.546875,0.706342570569,0.253603825931
11.328125,0.70574425695,0.268481144434
12.109375,0.705174106388,0.282929971186
12.890625,0.704631680666,0.296950902453
13.671875,0.704115343695,0.310544549988
14.453125,0.70362111398,0.32371154481
15.234375,0.703140440562,0.336452547526
16.015625,0.702655912717,0.348768258456
16.796875,0.702133015194,0.36065943473
17.578125,0.701504352038,0.372126917762
18.359375,0.700639645565,0.383171678479
19.140625,0.699289280459,0.393794898751
19.921875,0.696980123175,0.40399811984
20.703125,0.692830566503,0.413783508816
21.484375,0.685247896632,0.423154355154
22.265625,0.671521381788,0.432115945288
23.046875,0.647564895874,0.440677049589
23.828125,0.608703653612,0.448852141975
24.609375,0.553037411892,0.456663912855
25.390625,0.486660853293,0.464144231477
26.171875,0.423294191797,0.471330723142
26.953125,0.374350161966,0.478259208428
27.734375,0.342159075489,0.484957404162
28.515625,0.323062473122,0.491443598391
29.296875,0.31238628037,0.497728661301
30.078125,0.306598900577,0.503818641491
30.859375,0.303501559912,0.509716745772
31.640625,0.301843800123,0.515424582458
32.421875,0.300946056571,0.520942876836
33.203125,0.300447599195,0.52627186502
33.984375,0.300159286447,0.531411506705
34.765625,0.299982559611,0.536361601754
35.546875,0.299866179727,0.541121852573
36.328125,0.299783477438,0.545691898977
37.109375,0.299720492104,0.550071337856
37.890625,0.299669819848,0.554259735255
38.671875,0.299627433689,0.55825663355
39.453125,0.299591044227,0.562061555399
40.234375,0.299559256522,0.56567400897
41.015625,0.299531137472,0.569093489423
41.796875,0.299505994349,0.572319482316
42.578125,0.299483261761,0.575351464865
43.359375,0.299462444102,0.578188908317
44.140625,0.299443086397,0.580831280503
44.921875,0.299424759724,0.583278048426
45.703125,0.299407054321,0.585528679847
46.484375,0.299389577238,0.587582648975
47.265625,0.299371953605,0.589439435485
48.046875,0.299353832294,0.591098534367
48.828125,0.299334898855,0.592559455034
49.609375,0.29931490164,0.593821729224
50.390625,0.299293702852,0.594884915485
51.171875,0.299271376841,0.595748607618
51.953125,0.299248398276,0.596412440409
52.734375,0.299226001557,0.59687609773
53.515625,0.299206867053,0.597139323289
54.296875,0.299196432174,0.597201929797
55.078125,0.299205398806,0.597063807379
55.859375,0.299254533435,0.596724933992
56.640625,0.299383860109,0.596185379153
57.421875,0.299670249824,0.595445301236
58.203125,0.300260953079,0.59450492412
58.984375,0.301436956351,0.593364481641
59.765625,0.303730367872,0.59202408995
60.546875,0.308133045239,0.590483481596
61.328125,0.316434955177,0.588741492552
62.109375,0.331659484277,0.586795107078
62.890625,0.358246589872,0.584637818876
63.671875,0.400852003586,0.582257218282
64.453125,0.460139699796,0.579632493711
65.234375,0.527547312881,0.5767342479
66.015625,0.588205609296,0.573529579914
66.796875,0.632440418054,0.569990697253
67.578125,0.660116307762,0.566100460287
68.359375,0.675754737937,0.561852387554
69.140625,0.683925345342,0.557248006609
69.921875,0.68775933523,0.552294241029
70.703125,0.689036327844,0.547001703752
71.484375,0.688581667032,0.54138383165
72.265625,0.686550168213,0.535456629407
73.046875,0.682536984511,0.529238840627
73.828125,0.675557182791,0.522752477546
74.609375,0.66398662742,0.516023691763
75.390625,0.645659063308,0.509083961058
76.171875,0.618458767575,0.501971445744
76.953125,0.581666680094,0.494732089087
77.734375,0.537499092152,0.4874197502
78.515625,0.491145373104,0.480094877209
79.296875,0.448452190647,0.47282220841
80.078125,0.413211914225,0.465668884777
80.859375,0.38637642902,0.45870401347
81.640625,0.366998137545,0.451999612486
82.421875,0.353448528158,0.445632271094
83.203125,0.344153555212,0.439684982472
83.984375,0.337858120303,0.43424889485
84.765625,0.333643680729,0.429424965502
85.546875,0.330861315844,0.425325578048
86.328125,0.329054988373,0.422076182692
87.109375,0.327899317592,0.419817032762
87.890625,0.327155299797,0.418705059522
88.671875,0.32664095436,0.418915929812
89.453125,0.326212908307,0.420646319343
90.234375,0.32575556415,0.424116438792
91.015625,0.325175334821,0.429572844765
91.796875,0.324398103342,0.437291567303
92.578125,0.323368555569,0.447581604418
93.359375,0.322050423043,0.460788815047
94.140625,0.320427052129,0.47730027243
94.921875,0.318502174849,0.497549127422
95.703125,0.316301403105,0.522020051129
96.484375,0.31387599167,0.551255341904
97.265625,0.311312225163,0.585861779471
98.046875,0.308753289762,0.626518343942
98.828125,0.306447658643,0.67398492117
99.609375,0.304852846374,0.729112131407
