y,concentration,potential
0.390625,0.302614918421,0.614870183625
1.171875,0.302612277408,0.614833835087
1.953125,0.302607011516,0.614761288768
2.734375,0.302599152647,0.61465284603
3.515625,0.302588747759,0.614508957082
4.296875,0.302575857813,0.614330218561
5.078125,0.302560556409,0.614117370827
5.859375,0.302542928154,0.613871293423
6.640625,0.302523066776,0.613593001411
7.421875,0.302501073055,0.613283639438
8.203125,0.302477052599,0.612944476865
8.984375,0.302451113528,0.61257689895
9.765625,0.302423364101,0.612182401938
10.546875,0.30239391035,0.611762584196
11.328125,0.302362853764,0.611319137866
12.109375,0.302330289078,0.610853838908
12.890625,0.302296302191,0.610368539441
13.671875,0.30226096829,0.609865155896
14.453125,0.302224350181,0.609345660068
15.234375,0.302186496897,0.608812067772
16.015625,0.302147442589,0.608266427871
16.796875,0.302107205741,0.607710811811
17.578125,0.302065788738,0.607147302017
18.359375,0.302023177788,0.606577980582
19.140625,0.301979343236,0.606004918626
19.921875,0.301934240263,0.605430166053
20.703125,0.301887809993,0.604855739548
21.484375,0.301839980978,0.604283613901
22.265625,0.301790671089,0.603715711453
23.046875,0.301739789761,0.603153893299
23.828125,0.301687240602,0.60259995035
24.609375,0.301632924299,0.602055595418
25.390625,0.301576741818,0.601522456035
26.171875,0.301518597804,0.601002068427
26.953125,0.301458404175,0.60049587141
27.734375,0.301396083791,0.60000520254
28.515625,0.301331574178,0.59953129262
29.296875,0.301264831193,0.599075264599
30.078125,0.301195832578,0.598638130333
30.859375,0.301124581321,0.598220789716
31.640625,0.30105110874,0.597824030427
32.421875,0.300975477239,0.597448528558
33.203125,0.300897782665,0.597094849841
33.984375,0.300818156215,0.596763451958
34.765625,0.300736765854,0.596454687992
35.546875,0.300653817216,0.596168809299
36.328125,0.30056955397,0.595905970659
37.109375,0.300484257638,0.59566623559
37.890625,0.300398246884,0.595449581892
38.671875,0.300311876277,0.595255908004
39.453125,0.300225534554,0.595085039809
40.234375,0.300139642413,0.594936739146
41.015625,0.300054649888,0.594810709182
41.796875,0.299971033319,0.594706605072
42.578125,0.299889291997,0.594624039747
43.359375,0.299809944521,0.594562594495
44.140625,0.299733524953,0.5945218249
44.921875,0.299660578824,0.594501271709
45.703125,0.299591659126,0.594500466025
46.484375,0.299527322379,0.594518939372
47.265625,0.299468124986,0.594556229493
48.046875,0.299414620066,0.594611888147
48.828125,0.299367355126,0.594685486332
49.609375,0.299326871019,0.59477662024
50.390625,0.299293702852,0.594884915485
51.171875,0.29926838384,0.595010030906
51.953125,0.299251453528,0.5951516614
52.734375,0.299243472491,0.595309540267
53.515625,0.299245046652,0.595483438896
54.296875,0.299256865804,0.595673166685
55.078125,0.299279763124,0.595878569151
55.859375,0.299314805626,0.596099525555
56.640625,0.299363430089,0.596335944178
57.421875,0.29942764557,0.59658775711
58.203125,0.299510332915,0.596854913885
58.984375,0.299615684837,0.597137372676
59.765625,0.299749848132,0.597435091895
60.546875,0.299921854287,0.597748018177
61.328125,0.300144957237,0.598076075642
62.109375,0.300438538932,0.598419150321
62.890625,0.300830794473,0.598777076071
63.671875,0.301362466239,0.599149615356
64.453125,0.302091951664,0.5995364408
65.234375,0.303102141649,0.599937110353
66.015625,0.304509313952,0.600351043041
66.796875,0.306474230937,0.600777486932
67.578125,0.309215142175,0.601215483671
68.359375,0.313021469879,0.601663827713
69.140625,0.318265304924,0.602121019671
69.921875,0.325405254642,0.602585215042
70.703125,0.334973784998,0.603054170082
71.484375,0.347536030645,0.603525191438
72.265625,0.36360787675,0.603995097087
73.046875,0.38352877893,0.604460204792
73.828125,0.407305197138,0.604916362143
74.609375,0.434472203539,0.605359037469
75.390625,0.464046892868,0.605783478166
76.171875,0.494636205586,0.606184929471
76.953125,0.52469471316,0.606558882745
77.734375,0.5528379166,0.606901309205
78.515625,0.578079602099,0.60720883447
79.296875,0.599915068432,0.607478834659
80.078125,0.61826392769,0.607709456123
80.859375,0.633340769327,0.607899581946
81.640625,0.645519612268,0.60804877169
82.421875,0.655228026351,0.608157196506
83.203125,0.662879207716,0.608225578673
83.984375,0.668835716596,0.608255145638
84.765625,0.67339462171,0.60824759419
85.546875,0.676785121301,0.608205066285
86.328125,0.679172577327,0.608130127626
87.109375,0.680665568122,0.608025750581
87.890625,0.681324518121,0.607895290934
88.671875,0.681171688773,0.607742459988
89.453125,0.680202920912,0.607571286218
90.234375,0.678401592543,0.607386065155
91.015625,0.67575485452,0.607191296465
91.796875,0.672271411506,0.606991609299
92.578125,0.667999102228,0.606791677169
93.359375,0.663039609741,0.60659612441
94.140625,0.657557200759,0.606409428885
94.921875,0.651778805281,0.606235827053
95.703125,0.645984102658,0.606079221582
96.484375,0.640486278661,0.605943101246
97.265625,0.63560611549,0.605830469905
98.046875,0.631643365529,0.605743791321
98.828125,0.628849540101,0.605684946436
99.609375,0.627405433674,0.605655204442
