time,solid_fraction,free_energy,tip_x
265,1947.64045843,2106444.31977,63.8757233367
270,1984.65518735,2106131.7801,64.7769311986
275,2021.86615111,2105817.57314,65.6793148355
280,2059.27536437,2105501.6796,66.584502992
285,2096.88442712,2105184.08349,67.4940627787
290,2134.69460941,2104864.77222,68.4089421589
295,2172.70679525,2104543.73624,69.3168791678
300,2210.92158031,2104220.96909,70.2194383798
305,2249.33921937,2103896.46707,71.1185741728
310,2287.95971182,2103570.22913,72.0160292147
315,2326.78277465,2103242.25668,72.9133382196
320,2365.8078847,2102912.55326,73.8118397714
325,2405.03431654,2102581.12452,74.7126945141
330,2444.46111861,2102247.97769,75.6158884564
335,2484.08721461,2101913.12173,76.5113494397
340,2523.91133337,2101576.56681,77.4011193338
345,2563.93211707,2101238.32432,78.2867133619
350,2604.14811591,2100898.40673,79.1694076888
355,2644.55776471,2100556.82721,80.050266949
360,2685.15938226,2100213.59961,80.9301705747
365,2725.95121242,2099868.73835,81.8098376976
370,2766.93167689,2099522.2586,82.6898501463
375,2808.09924175,2099174.17587,83.5706729491
380,2849.45177431,2098824.50496,84.4486515061
385,2890.98686905,2098473.26066,85.3204738812
390,2932.70319899,2098120.45961,86.1880591592
395,2974.60028738,2097766.11941,87.0521839202
400,3016.67605942,2097410.25516,87.9134915197
405,3058.92644004,2097052.87918,88.7725108784
410,3101.3492454,2096694.00628,89.629673436
415,3143.94578522,2096333.65593,90.4853276579
420,3186.71590673,2095971.84608,91.3397507657
425,3229.65501396,2095608.58861,92.1931588593
430,3272.75908467,2095243.89436,93.0457165281
435,3316.02852289,2094877.77839,93.8975453464
440,3359.46386035,2094510.25731,94.7487303241
445,3403.06224125,2094141.34547,95.5993249761
450,3446.82118573,2093771.05635,96.4457378364
455,3490.74089357,2093399.40356,97.2892301479
460,3534.82017022,2093026.39863,98.13013579
465,3579.05514379,2092652.0513,98.9687099892
470,3623.44399365,2092276.3729,99.8051679514
475,3667.98793443,2091899.37671,100.639690645
480,3712.68642169,2091521.07514,101.472429466
485,3757.53638021,2091141.47921,102.303510167
490,3802.53650156,2090760.59975,103.13303654
495,3847.68729811,2090378.44666,103.961093717
500,3892.98705757,2089995.02798,104.787750862
505,3938.43248532,2089610.35166,105.613063421
510,3984.02288498,2089224.42716,106.437075254
515,4029.75938955,2088837.26436,107.259820565
520,4075.64092615,2088448.87247,108.081325448
525,4121.66491285,2088059.26064,108.901609182
530,4167.83084405,2087668.43798,109.720685457
535,4214.13935105,2087276.41211,110.538563523
540,4260.58877777,2086883.1891,111.355249122
545,4307.17622213,2086488.77534,112.170745253
550,4353.90106754,2086093.17815,112.9850529
555,4400.76426409,2085696.40467,113.79817172
560,4447.764975,2085298.46188,114.610100605
565,4494.90097337,2084899.35761,115.420838121
570,4542.1717227,2084499.10005,116.230382908
575,4589.57809456,2084097.696,117.038734068
580,4637.11928924,2083695.15079,117.845891482
585,4684.79271743,2083291.46988,118.651856046
590,4732.59702675,2082886.65916,119.456629859
595,4780.5328221,2082480.72404,120.260216399
600,4828.60003906,2082073.6695,121.062620673
605,4876.79683486,2081665.50161,121.863849291
610,4925.12184692,2081256.22766,122.663910496
615,4973.57564133,2080845.85448,123.462814176
620,5022.15877118,2080434.38749,124.260571856
625,5070.86981922,2080021.83179,125.057196642
630,5119.70667815,2079608.19299,125.852703136
635,5168.6687973,2079193.4763,126.647107303
640,5217.75669334,2078777.68567,127.440426348
645,5266.96977546,2078360.82486,128.232678549
650,5316.30618691,2077942.89913,129.023883064
655,5365.76486836,2077523.91489,129.814059713
660,5415.3464157,2077103.878,130.603228726
665,5465.05136541,2076682.79329,131.391410492
670,5514.8786292,2076260.66573,132.178625274
675,5564.82641813,2075837.50107,132.964892902
680,5614.89409017,2075413.30465,133.750232437
685,5665.08206906,2074988.08023,134.534661829
690,5715.39010592,2074561.83077,135.318197553
695,5765.81661639,2074134.56021,136.100854221
700,5816.36009189,2073706.27385,136.882644176
705,5867.02047381,2073276.97701,137.663577063
710,5917.79850545,2072846.67413,138.443659377
715.000000001,5968.69405499,2072415.36949,139.222894002
720.000000001,6019.70575798,2071983.06836,140.00127971
725.000000001,6070.83235863,2071549.77653,140.778810654
730.000000001,6122.07376537,2071115.4988,141.555475818
735.000000001,6173.43037327,2070680.23834,142.331258453
740.000000001,6224.90168338,2070243.9979,143.106135485
745.000000001,6276.48613891,2069806.78123,143.88007689
750.000000001,6328.18239505,2069368.59307,144.653045042
755.000000001,6379.99032852,2068929.43788,145.424994022
760.000000001,6431.91051156,2068489.31925,146.195868894
765.000000001,6483.94291092,2068048.24083,146.965604938
770.000000001,6536.08647114,2067606.2074,147.734126843
775.000000001,6588.34002432,2067163.22462,148.501347845
780.000000001,6640.7032808,2066719.29756,149.267168813
785.000000001,6693.17663339,2066274.42974,150.031477259
790.000000001,6745.76006712,2065828.62372,150.793896625
795.000000001,6798.45253931,2065381.8825,151.554195957
800.000000001,6851.25257732,2064934.21008,152.314460334
805.000000001,6904.15937361,2064485.61069,153.074674065
810.000000001,6957.17310222,2064036.08781,153.834811046
815.000000001,7010.29415741,2063585.6443,154.594834045
820.000000001,7063.5222434,2063134.28347,155.35469391
825.000000001,7116.85633091,2062682.00985,156.114328725
830.000000001,7170.29546673,2062228.82873,156.8736629
835.000000001,7223.83946278,2061774.74476,157.632606186
840.000000001,7277.48868399,2061319.76124,158.391052641
845.000000001,7331.24319916,2060863.8806,159.148879519
850.000000001,7385.10222798,2060407.10557,159.905946094
855.000000001,7439.06446777,2059949.4397,160.662092413
860.000000001,7493.12894609,2059490.88689,161.417137958
865.000000001,7547.29551267,2059031.45044,162.170880211
870.000000001,7601.56451094,2058571.1329,162.923093094
875.000000001,7655.93602286,2058109.93681,163.673525262
880.000000001,7710.40945785,2057647.86562,164.421898214
885.000000001,7764.98386379,2057184.92393,165.167080844
890.000000001,7819.65860033,2056721.11652,165.911914725
895.000000001,7874.43367083,2056256.44734,166.65756358
900.000000001,7929.30939252,2055790.9191,167.403869857
905.000000001,7984.28574427,2055324.53392,168.150656843
910.000000001,8039.36201448,2054857.29429,168.897726968
915.000000001,8094.53707323,2054389.20343,169.644859985
920.000000001,8149.81001115,2053920.2649,170.391811067
925.000000002,8205.18056181,2053450.48179,171.13830882
930.000000002,8260.64895681,2052979.85647,171.884053216
935.000000002,8316.21538765,2052508.39108,172.628713404
940.000000002,8371.87956421,2052036.08835,173.371925388
945.000000002,8427.64073963,2051562.95201,174.113289475
950.000000002,8483.49814894,2051088.98645,174.852367432
955.000000002,8539.45144845,2050614.19573,175.588249485
960.000000002,8595.50076576,2050138.58297,176.321894694
965.000000002,8651.64633153,2049662.15029,177.05715157
970.000000002,8707.88801205,2049184.8995,177.793712075
975.000000002,8764.2251254,2048706.83282,178.531243522
980.000000002,8820.65668837,2048227.95317,179.269385359
985.000000002,8877.1818945,2047748.26374,180.007745896
990.000000002,8933.80044629,2047267.76741,180.745899015
995.000000002,8990.51250214,2046786.46648,181.483380862
1000,9047.31830942,2046304.36294,182.219686463
1005,9104.21781516,2045821.45907,182.954266157
1010,9161.21053715,2045337.75792,183.686521683
1015,9218.29577073,2044853.26322,184.415801731
1020,9275.4729514,2044367.97882,185.140888337
1025,9332.7418857,2043881.90794,185.867532478
1030,9390.10268346,2043395.05286,186.596132468
1035,9447.55545692,2042907.41514,187.326193556
1040,9505.10001105,2042418.99621,188.057187646
1045,9562.73574473,2041929.79799,188.788548106
1050,9620.46183346,2041439.82304,189.519664752
1055,9678.27756822,2040949.07431,190.249878953
1060,9736.18261959,2040457.55461,190.978478688
1065,9794.17705867,2039965.26629,191.704693286
1070,9852.26113803,2039472.21133,192.427687503
1075,9910.43498381,2038978.39166,193.145945546
1080,9968.69839062,2038483.80961,193.865613314
