time,solid_fraction,tip_x
1140,13846.6717082,267.423112827
1145,13927.0290865,268.409836943
1150,14007.5205452,269.385959316
1155,14088.1463558,270.354560307
1160,14168.9047809,271.323763471
1165,14249.7916945,272.300895464
1170,14330.8075209,273.283875
1175,14411.952948,274.253605312
1180,14493.2281698,275.219278468
1185,14574.6324422,276.188356283
1190,14656.1639571,277.167693611
1195,14737.8267483,278.143469981
1200,14819.6228298,279.108709881
1205,14901.5483972,280.072497709
1210,14983.6015802,281.041776164
1215,15065.7831724,282.021489054
1220,15148.0934946,282.990194894
1225,15230.534471,283.952138334
1230,15313.1062418,284.914527902
1235,15395.8041269,285.883891419
1240,15478.6270724,286.860711725
1245,15561.5763573,287.825078635
1250,15644.6531812,288.784424289
1255,15727.8576135,289.745520007
1260,15811.18927,290.714553973
1265,15894.6436923,291.687832955
1270,15978.2255804,292.648818838
1275,16061.9324036,293.60593325
1280,16145.7660565,294.565592114
1285,16229.7265667,295.533698436
1290,16313.8124301,296.503644232
1295,16398.0239156,297.461920754
1300,16482.3622368,298.416966635
1305,16566.8246605,299.374906989
1310,16651.4099169,300.341400272
1315,16736.1175625,301.308706567
1320,16820.9467162,302.264781978
1325,16905.9004715,303.217821462
1330,16990.9823616,304.17371234
1335,17076.1864353,305.137901002
1340,17161.5124432,306.103417475
1345,17246.9628282,307.057736528
1350,17332.5350722,308.008816113
1355,17418.2286248,308.962351734
1360,17504.0435999,309.923606519
1365,17589.9815442,310.888040097
1370,17676.0410376,311.841067556
1375,17762.2221329,312.790289527
1380,17848.5246913,313.741252106
1385,17934.952131,314.699063658
1390,18021.5008722,315.662702461
1395,18108.1709697,316.614995133
1400,18194.9610641,317.562579147
1405,18281.8711209,318.510892582
1410,18368.9006045,319.464919591
1415,18456.04977,320.427372188
1420,18543.318893,321.379643456
1425,18630.7087594,322.325981447
1430,18718.2199469,323.271758293
1435,18805.8536234,324.221868024
1440,18893.6075738,325.180921872
1445,18981.4796084,326.134990195
1450,19069.4696616,327.080697527
1455,19157.5771309,328.02428183
1460,19245.8032179,328.97058532
1465,19334.1489992,329.9241195
1470,19422.6153652,330.880799239
1475,19511.201561,331.826765029
1480,19599.9053979,332.768773809
1485,19688.726422,333.711658553
1490,19777.6655618,334.659871049
1495,19866.7223765,335.616536766
1500,19955.8955716,336.563976301
