time,solid_fraction,tip_x
0,51.5574012953,7.99048284612
5,130.986004686,12.8916565815
10,177.8411264,15.0316405141
15,218.464163399,16.6721246426
20,256.555245275,18.0851684638
25,293.290078997,19.3390895912
30,329.166162041,20.5166155074
35,364.441327331,21.5947277462
40,399.268653254,22.6118064604
45,433.747524935,23.5916050575
50,467.946769495,24.5252721603
55,501.916261808,25.4142710104
60,535.693416514,26.2689040855
65,569.307098412,27.0947894916
70,602.780087674,27.8954991957
75,636.130698703,28.6735742274
80,669.373890112,29.430791547
85,702.52204965,30.1680376804
90,735.585565759,30.8849786811
95,768.573247031,31.5795224092
100,801.492617958,32.2591994729
105,834.35012035,32.9322994846
110,867.151287384,33.5979336799
115,899.900968652,34.2522650474
120,932.603560738,34.8880925348
125,965.263034214,35.4996802594
130,997.882734791,36.1142137486
135,1030.4654289,36.7289773427
140,1063.01382885,37.3298395875
145,1095.53073523,37.902962823
150,1128.0183323,38.4834795344
155,1160.47817966,39.0666717684
160,1192.91230515,39.6283139774
165,1225.32283354,40.1741071422
170,1257.71079637,40.7362043144
175,1290.07743311,41.2846345772
180,1322.42476464,41.8078188256
185,1354.75355792,42.351424945
190,1387.06455993,42.8834126131
195,1419.35968796,43.3902177216
200,1451.63934342,43.9197860904
205,1483.90416737,44.4318737016
210,1516.15595783,44.928658757
215,1548.39457504,45.4462826823
220,1580.62105307,45.9332832354
225,1612.83669973,46.4305489289
230,1645.04104381,46.9323711908
235,1677.23581508,47.4025493604
240,1709.4211455,47.8999401206
245,1741.59724897,48.373456065
250,1773.76574802,48.8484351965
255,1805.92581729,49.3339430988
260,1838.07912526,49.7873842686
265,1870.22558875,50.2699941481
270,1902.36549073,50.7227113537
275,1934.50018174,51.1900964699
280,1966.62873949,51.6547553762
285,1998.75309629,52.0999857827
290,2030.87234606,52.5690933423
295,2062.98776995,53.0033649521
300,2095.09948237,53.4683060732
305,2127.2075122,53.9024732477
310,2159.31315641,54.3563851398
315,2191.41544242,54.7985184245
320,2223.51631104,55.2360846243
325,2255.61449064,55.6853062166
330,2287.7118363,56.1092707079
335,2319.80745517,56.5604545293
340,2351.90255974,56.9771749644
345,2383.9970463,57.4263132958
350,2416.09124694,57.8405841371
355,2448.18592449,58.2846023931
360,2480.28059858,58.6999834561
365,2512.37672962,59.1365994013
370,2544.47326289,59.5556635844
375,2576.57208823,59.9832614964
380,2608.67185914,60.4076398124
385,2640.7746179,60.8253151882
390,2672.878993,61.2535582166
395,2704.98693768,61.6633227573
400,2737.09726747,62.093745847
405,2769.21167564,62.4977313215
410,2801.32929636,62.9290450307
415,2833.45147288,63.328908731
420,2865.57771641,63.7601467621
425,2897.70898975,64.15716943
430,2929.84519429,64.5876272869
435,2961.98691473,64.9827927075
440,2994.13443113,65.4119753883
445,3026.28797237,65.8060352366
450,3058.44816776,66.2336127519
455,3090.61492894,66.6271393961
460,3122.78919058,67.052909148
465,3154.97059679,67.4463385358
470,3187.16033674,67.8701937261
475,3219.35783877,68.2638600832
480,3251.56449798,68.6857633914
485,3283.77957273,69.0799271692
490,3316.00462355,69.4998889966
495,3348.23877562,69.8947592834
500,3380.48372288,70.3128199033
505,3412.73848659,70.7085723293
510,3445.00486813,71.1247873323
515,3477.28180942,71.5215783484
520,3509.57119645,71.9360068218
525,3541.87191421,72.3339850991
530,3574.18591195,72.7466800313
535,3606.51203867,73.1459956182
540,3638.85228687,73.5569960722
545,3671.20548911,73.9578078455
550,3703.57366243,74.3671325021
555,3735.95564085,74.7696143629
560,3768.35344896,75.1772560854
565,3800.76593836,75.5816022721
570,3833.19512564,75.987523401
575,3865.63989478,76.393953225
580,3898.10223969,76.7980813577
585,3930.58109096,77.2066846075
590,3963.07840518,77.6090676695
595,3995.59317393,78.0197815393
600,4028.12730124,78.4206113282
605,4060.6798549,78.8334561278
610,4093.25266982,79.2328331092
615,4125.84490668,79.6478181273
620,4158.45831293,80.0458461355
625,4191.09216057,80.4629619852
630,4223.74808926,80.8597565222
635,4256.42550281,81.2789674129
640,4289.12591035,81.6746641166
645,4321.84887035,82.0959000909
650,4354.59573633,82.4906633415
655,4387.36624572,82.9138125468
660,4420.1615716,83.3078441438
665,4452.98165136,83.7327452304
670,4485.82745936,84.1262930394
675,4518.69914478,84.5527278008
680,4551.59747331,84.9460942395
685,4584.52281548,85.3737806227
690,4617.47570881,85.7673308364
695,4650.45677725,86.1959164569
700,4683.46628207,86.590086013
705,4716.50515026,87.0191423223
710,4749.57333288,87.4144442272
715,4782.67205187,87.8434614992
720,4815.80100342,88.2404923161
725,4848.96161378,88.6688756117
730,4882.15340746,89.068320486
735,4915.37797413,89.4953867076
740,4948.63465173,89.8980231403
745,4981.92522366,90.3229992768
750,5015.24885158,90.7296994594
755,5048.60742095,91.1517221505
760,5082.00006002,91.5634536977
765,5115.4286293,91.9815701559
770,5148.8922773,92.3993951986
775,5182.3928325,92.8125654442
780,5215.92950058,93.2359090714
785,5249.50395152,93.6447384496
790,5283.11561752,94.0727354462
795,5316.76589248,94.4781283588
800,5350.45445996,94.9098270412
805,5384.18242955,95.3127830564
810,5417.94980579,95.747137339
815,5451.75728471,96.1487585319
820,5485.60528494,96.5846341928
825,5519.49410943,96.9861176934
830,5553.42451159,97.4223002677
835,5587.39637846,97.8249286652
840,5621.41087495,98.2601328584
845,5655.46754436,98.6652625768
850,5689.56782225,99.09814311
855,5723.71093455,99.5071909506
860,5757.89847716,99.9363545842
865,5792.12952478,100.350782782
870,5826.40589204,100.774801253
875,5860.72668699,101.19610142
880,5895.09344519,101.61352492
885,5929.50504935,102.04105645
890,5963.96296767,102.4525722
895,5998.46691814,102.884814515
900,6033.01837595,103.291991119
905,6067.61668932,103.72747987
910,6102.26183972,104.131827524
915,6136.9536373,104.56909388
920,6171.69333077,104.972121382
925,6206.48257735,105.409705585
930,6241.32096032,105.812903193
935,6276.20736134,106.24936847
940,6311.13983586,106.654190635
945,6346.12102253,107.088137119
950,6381.15318735,107.495985511
955,6416.23862939,107.926063885
960,6451.37299947,108.338271223
965,6486.55390188,108.763195771
970,6521.78070904,109.181010798
975,6557.06002596,109.599571411
980,6592.39421167,110.023251791
985,6627.78205626,110.435218421
990,6663.21670816,110.863247946
995,6698.69745527,111.270151349
1000,6734.22763902,111.701243952
1005,6769.81272805,112.104369829
1010,6805.45175627,112.537323005
1015,6841.14138464,112.937857439
1020,6876.87991957,113.371559443
1025,6912.66938081,113.770581287
1030,6948.51113949,114.204017414
1035,6984.40311556,114.602491867
1040,7020.34442337,115.034749775
1045,7056.3367461,115.433523569
1050,7092.38425288,115.86379763
1055,7128.48529605,116.263595833
1060,7164.63665459,116.691190213
1065,7200.83499234,117.092614614
