time,solid_fraction,tip_x
810,6957.17310222,153.834811046
815,7010.29415741,154.594834045
820,7063.5222434,155.35469391
825,7116.85633091,156.114328725
830,7170.29546673,156.8736629
835,7223.83946278,157.632606186
840,7277.48868399,158.391052641
845,7331.24319916,159.148879519
850,7385.10222798,159.905946094
855,7439.06446777,160.662092413
860,7493.12894609,161.417137958
865,7547.29551267,162.170880211
870,7601.56451094,162.923093094
875,7655.93602286,163.673525262
880,7710.40945785,164.421898214
885,7764.98386379,165.167080844
890,7819.65860033,165.911914725
895,7874.43367083,166.65756358
900,7929.30939252,167.403869857
905,7984.28574427,168.150656843
910,8039.36201448,168.897726968
915,8094.53707323,169.644859985
920,8149.81001115,170.391811067
925,8205.18056181,171.13830882
930,8260.64895681,171.884053216
935,8316.21538765,172.628713404
940,8371.87956421,173.371925388
945,8427.64073963,174.113289475
950,8483.49814894,174.852367432
955,8539.45144845,175.588249485
960,8595.50076576,176.321894694
965,8651.64633153,177.05715157
970,8707.88801205,177.793712075
975,8764.2251254,178.531243522
980,8820.65668837,179.269385359
985,8877.1818945,180.007745896
990,8933.80044629,180.745899015
995,8990.51250214,181.483380862
1000,9047.31830942,182.219686463
1005,9104.21781516,182.954266157
1010,9161.21053715,183.686521683
1015,9218.29577073,184.415801731
1020,9275.4729514,185.140888337
1025,9332.7418857,185.867532478
1030,9390.10268346,186.596132468
1035,9447.55545692,187.326193556
1040,9505.10001105,188.057187646
1045,9562.73574473,188.788548106
1050,9620.46183346,189.519664752
1055,9678.27756822,190.249878953
1060,9736.18261958,190.978478688
1065,9794.17705867,191.704693286
1070,9852.26113803,192.427687503
1075,9910.43498381,193.145945546
1080,9968.69839062,193.865613314
1085,10027.0508366,194.587773431
1090,10085.4916936,195.311757879
1095,10144.0204837,196.036859531
1100,10202.6370162,196.762324684
1105,10261.3413273,197.487346066
1110,10320.1334763,198.211056136
1115,10379.0133295,198.932520294
1120,10437.9804639,199.650729452
1125,10497.0342496,200.363812023
1130,10556.1740618,201.076909547
1135,10615.3994978,201.79312015
1140,10674.7104739,202.511604928
1145,10734.1071539,203.231481907
1150,10793.5897553,203.951815852
1155,10853.1583366,204.671608991
1160,10912.8126746,205.389792282
1165,10972.5522877,206.10521658
1170,11032.3765862,206.816642783
1175,11092.2850635,207.522986891
1180,11152.2774272,208.232533083
1185,11212.3536081,208.945189539
1190,11272.5136546,209.659917561
1195,11332.757576,210.37562378
1200,11393.0852128,211.091147805
1205,11453.4962015,211.805251038
1210,11513.9900482,212.516605774
1215,11574.5662755,213.223783325
1220,11635.2245664,213.925397411
1225,11695.9648351,214.630278074
1230,11756.7871912,215.338649386
1235,11817.6918171,216.049292129
1240,11878.6788116,216.760925943
1245,11939.7480669,217.472194172
1250,12000.8992312,218.181650296
1255,12062.1317732,218.887744577
1260,12123.4451202,219.588402832
1265,12184.8388095,220.286147015
1270,12246.3125877,220.988538882
1275,12307.8664205,221.694208819
1280,12369.5004131,222.40173161
1285,12431.2146775,223.109606577
1290,12493.0092044,223.816240493
1295,12554.8837914,224.519931798
1300,12616.8380585,225.218853888
1305,12678.871546,225.911999247
1310,12740.9838497,226.609562617
1315,12803.1747358,227.311049286
1320,12865.4441828,228.014868722
1325,12927.792331,228.719352316
1330,12990.2193617,229.422732761
1335,13052.7253518,230.123125494
1340,13115.3101653,230.818509399
1345,13177.9734261,231.507966803
1350,13240.7145871,232.202250781
1355,13303.5330727,232.900661673
1360,13366.4284352,233.601425432
1365,13429.4004614,234.302681405
1370,13492.4491836,235.002458833
1375,13555.5747924,235.698655562
1380,13618.7774878,236.388620849
1385,13682.0573319,237.075461463
1390,13745.414165,237.768016802
1395,13808.847622,238.464380718
1400,13872.3572414,239.162574721
1405,13935.942619,239.860517629
1410,13999.6035364,240.556000127
1415,14063.3400026,241.246660387
1420,14127.1521886,241.929978127
1425,14191.0402822,242.616946846
1430,14255.0043279,243.308917864
1435,14319.0441252,244.003774482
1440,14383.1592347,244.699303954
1445,14447.3490953,245.393166776
1450,14511.6132048,246.082869366
1455,14575.9512808,246.765011039
1460,14640.3633272,247.447197506
1465,14704.8495744,248.135280178
1470,14769.4103172,248.826988685
1475,14834.0457184,249.519960398
1480,14898.7556603,250.211704351
1485,14963.5397074,250.899570406
1490,15028.3972074,251.580133743
1495,15093.3274989,252.258696613
1500,15158.3301499,252.94370788
