time,solid_fraction,tip_x
985,8795.1463178,72.310719357
990,8851.36196295,72.3806421386
995,8907.66241717,72.4526937484
1000,8964.04616169,72.5219253791
1005,9020.524975,72.5881997679
1010,9077.09478505,72.6520379156
1015,9133.75412082,72.7140063256
1020,9190.50304133,72.7748082003
1025,9247.34105065,72.8352084593
1030,9304.26674977,72.8958111511
1035,9361.27838897,72.9570541756
1040,9418.37526187,73.0193139074
1045,9475.55688978,73.0829794453
1050,9532.82056409,73.1484625952
1055,9590.16763628,73.2163215524
1060,9647.59561382,73.2834645666
1065,9705.11582013,73.3477107146
1070,9762.72565505,73.409755127
1075,9820.42385068,73.4702387549
1080,9878.20999993,73.5296299387
1085,9936.08263909,73.5882787756
1090,9994.04022402,73.646515723
1095,10052.0806355,73.704698611
1100,10110.2027943,73.7632151292
1105,10168.4071532,73.8224711474
1110,10226.6924084,73.88288842
1115,10285.0587151,73.9449441017
1120,10343.5060165,74.0093929275
1125,10402.0378406,74.0741462869
1130,10460.6579361,74.136611356
1135,10519.3609482,74.1970881791
1140,10578.1474673,74.2558505807
1145,10637.0171434,74.3132012212
1150,10695.9689705,74.3694780368
1155,10755.0020223,74.4250486344
1160,10814.1134409,74.4803015446
1165,10873.3034456,74.5356530697
1170,10932.5718402,74.5916217282
1175,10991.9169387,74.6487890253
1180,11051.3401302,74.7076582635
1185,11110.8400559,74.7686284918
1190,11170.4236083,74.8318436915
1195,11230.0915336,74.8935930627
1200,11289.8398265,74.9529810493
1205,11349.6676247,75.0103283917
1210,11409.5742642,75.065976237
1215,11469.559004,75.1202845714
1220,11529.6229279,75.173643745
1225,11589.7655085,75.2265424378
1230,11649.985785,75.2794861233
1235,11710.2818753,75.332898871
1240,11770.6509676,75.387106803
1245,11831.0932042,75.4423811811
1250,11891.6088442,75.4989970825
1255,11952.2032836,75.5572326877
1260,12012.8828105,75.6174380871
1265,12073.6426919,75.6769057004
1270,12134.4809517,75.734038627
1275,12195.3963564,75.7891892105
1280,12256.3872278,75.8427897692
1285,12317.4537641,75.8953088877
1290,12378.5961017,75.9471424397
1295,12439.8152781,75.9985943857
1300,12501.1103536,76.0499106567
1305,12562.4792011,76.1013265058
1310,12623.9195147,76.1530880249
1315,12685.4322273,76.2054554768
1320,12747.0165501,76.2587124414
1325,12808.6799752,76.3131443338
1330,12870.4217233,76.3690349382
1335,12932.2392944,76.4266510269
1340,12994.1323179,76.4831918625
1345,13056.1009536,76.5379505115
1350,13118.1451917,76.591251595
1355,13180.2646007,76.643335295
1360,13242.4574489,76.6944024998
1365,13304.7228552,76.7446580579
1370,13367.0601767,76.7943255517
1375,13429.4680618,76.8436474255
1380,13491.945912,76.8928797628
1385,13554.4943605,76.942287638
1390,13617.1119996,76.992148183
1395,13679.8067457,77.0427828272
1400,13742.5780707,77.0945741474
1405,13805.4237352,77.1479153341
1410,13868.3433911,77.2031885856
1415,13931.3360878,77.2590933921
1420,13994.4009512,77.3131668051
1425,14057.5373982,77.3655855237
1430,14120.7456699,77.416543069
1435,14184.0257212,77.4662527158
1440,14247.3765167,77.5149438062
1445,14310.7961342,77.5628566338
1450,14374.2821093,77.6102438174
1455,14437.8361242,77.6573697692
1460,14501.4591235,77.7045631653
1465,14565.1540958,77.7521882256
1470,14628.9268451,77.8005891313
1475,14692.7712656,77.8500382549
1480,14756.6866749,77.9007536201
1485,14820.6736237,77.9529257996
1490,14884.7323244,78.0068056307
1495,14948.8621022,78.0607823089
1500,15013.0607532,78.1128595303
