time,solid_fraction,tip_x
0,51.5574012953,7.99048284612
5,130.904299041,12.8796385023
10,177.735977452,14.9862679317
15,218.344020128,16.5905236103
20,256.422913004,17.9554707475
25,293.147067491,19.1833123636
30,329.013688833,20.3041080796
35,364.280471697,21.3626936585
40,399.100475769,22.33947002
45,433.573091623,23.2629194937
50,467.767083568,24.1448645749
55,501.732313037,24.9902496931
60,535.506212747,25.80228115
65,569.117665501,26.584300275
70,602.589459649,27.3400484944
75,635.939901174,28.0731433892
80,669.183909691,28.7862058797
85,702.333821229,29.479873236
90,735.400039462,30.1518142472
95,768.391520563,30.7957074531
100,801.315909888,31.4219812991
105,834.179436383,32.0480089708
110,866.987313731,32.664912292
115,899.744738523,33.2572883864
120,932.456671806,33.8239894283
125,965.126354438,34.4017507363
130,997.756455361,34.9698539478
135,1030.35118295,35.5019575625
140,1062.91329,36.0438010616
145,1095.4436656,36.5846265178
150,1127.94606589,37.0875722782
155,1160.42252966,37.6055145694
160,1192.87300743,38.1175333966
165,1225.30166982,38.5950345217
170,1257.70845657,39.0973061741
175,1290.09442598,39.5694388791
180,1322.46310081,40.0421023179
185,1354.81229622,40.5202577728
190,1387.14653089,40.9632733128
195,1419.46427428,41.4342623576
200,1451.76755501,41.8651649642
205,1484.05780994,42.3206959708
210,1516.3337607,42.7483727712
215,1548.59952045,43.1846432797
220,1580.85153812,43.611706686
225,1613.09535421,44.0287351018
230,1645.32636697,44.452058979
235,1677.55059817,44.8544147681
240,1709.76306213,45.2712066058
245,1741.96991998,45.6626813722
250,1774.16592051,46.071100981
255,1806.35744096,46.4544589076
260,1838.53881021,46.8527765659
265,1870.71680726,47.2306967279
270,1902.88524506,47.6164960444
275,1935.05125234,47.9922811619
280,1967.20844536,48.3624842082
285,1999.36365104,48.7398191428
290,2031.51135614,49.0948557109
295,2063.65660993,49.4733416961
300,2095.79661345,49.8162060216
305,2127.93262125,50.1919660411
310,2160.06643755,50.5280559775
315,2192.1942113,50.8935423177
320,2224.32258557,51.2307138459
325,2256.44394246,51.574592452
330,2288.56657708,51.9228229675
335,2320.68403196,52.2466047194
340,2352.80026402,52.6009780352
345,2384.91579389,52.9167659489
350,2417.02626428,53.2594097495
355,2449.13965545,53.5819660363
360,2481.24731916,53.8973397538
365,2513.35649234,54.2360878899
370,2545.46464258,54.5384512136
375,2577.56905976,54.8698603365
380,2609.67751336,55.1792605813
385,2641.78079768,55.4812659687
390,2673.88611554,55.8092011972
395,2705.99228336,56.1006436121
400,2738.09416677,56.4139053779
405,2770.20134578,56.7201877736
410,2802.30528323,57.0058985149
415,2834.40910802,57.3232081195
420,2866.51760334,57.609910821
425,2898.6211589,57.8967982245
430,2930.72870396,58.2068029834
435,2962.83832721,58.4819912359
440,2994.94378332,58.7729313773
445,3027.05570693,59.0696513434
450,3059.16709984,59.337967452
455,3091.2762845,59.6320128161
460,3123.39292663,59.9146563706
465,3155.50724403,60.1783043684
470,3187.62137509,60.4711230032
475,3219.74319501,60.7435123449
480,3251.86172569,61.0030895729
485,3283.98157775,61.2922423966
490,3316.10923746,61.5572629209
495,3348.23322123,61.8124621673
500,3380.35931007,62.0968335687
505,3412.49358971,62.3566357248
510,3444.62420686,62.6068259161
515,3476.75690803,62.8856956037
520,3508.89856657,63.1421977399
525,3541.03701048,63.3868959367
530,3573.1766497,63.6590756569
535,3605.32626254,63.9143688755
540,3637.47380873,64.1536188287
545,3669.62079883,64.4166598277
550,3701.77858804,64.6733269848
555,3733.93656379,64.9079963352
560,3766.09164574,65.1586334833
565,3798.25737457,65.4188341091
570,3830.4269174,65.6508358226
575,3862.59147394,65.8892805635
580,3894.76457968,66.1500100763
585,3926.94612763,66.3824490278
590,3959.12234911,66.6106682912
595,3991.3025367,66.8650722149
600,4023.49523164,67.1023240884
605,4055.68569905,67.3238672239
610,4087.87400753,67.5620270023
615,4120.07561434,67.8087996318
620,4152.28193526,68.028818366
625,4184.48164548,68.2514676015
630,4216.68982681,68.4987579553
635,4248.9107694,68.723931811
640,4281.12674553,68.9373387295
645,4313.34180395,69.1679964279
650,4345.5728033,69.4057535461
655,4377.80819321,69.6179864639
660,4410.0352885,69.8312141191
665,4442.27160866,70.0687078622
670,4474.52364874,70.2893820108
675,4506.77064561,70.4947989441
680,4539.0134705,70.7109392483
685,4571.27381055,70.9448989695
690,4603.54353228,71.1538732135
695,4635.80251246,71.3558862483
700,4668.06574742,71.5755515632
705,4700.34999896,71.8003910024
710,4732.63485245,72.0014967165
715,4764.90832517,72.2015136124
720,4797.19514995,72.423152171
725,4829.501751,72.6379234822
730,4861.80085349,72.833400851
735,4894.09201776,73.0314748903
740,4926.40386654,73.2517006101
745,4958.73104315,73.4591486039
750,4991.04505979,73.6502016806
755,5023.35681646,73.8456004561
760,5055.69373258,74.062595401
765,5088.04022628,74.2650733542
770,5120.37090602,74.452351328
775,5152.70538907,74.6440336643
780,5185.06651338,74.8568136302
785,5217.43184968,75.0563095326
790,5249.78155724,75.2403153415
795,5282.14004983,75.4273227912
800,5314.5240459,75.63468216
805,5346.90847423,75.8331644504
810,5379.27982184,76.0145919279
815,5411.662944,76.1963677635
820,5444.06832192,76.3959057616
825,5476.47253127,76.5956019461
830,5508.86808665,76.77560452
835,5541.27616451,76.9522511416
840,5573.70156536,77.1420253481
845,5606.12627467,77.3431017906
850,5638.54825196,77.5234966952
855,5670.98174282,77.6959758658
860,5703.42629597,77.8760794068
865,5735.87188333,78.0744411531
870,5768.32171839,78.2578577138
875,5800.7814679,78.4281305153
880,5833.24528156,78.5998230953
885,5865.71172227,78.7875096109
890,5898.18956919,78.9774055512
895,5930.67659563,79.1485078853
900,5963.16120978,79.3143188906
905,5995.64859764,79.4886107255
910,6028.15309244,79.6796419
915,6060.66774625,79.8557115955
920,6093.17601892,80.0194665466
925,6125.68560427,80.1837701811
930,6158.21450533,80.3615681818
935,6190.75545454,80.5467791068
940,6223.29028912,80.7135444892
945,6255.82518795,80.8727477528
950,6288.37717988,81.0365321234
955,6320.94144116,81.2167915195
960,6353.50366471,81.3928196348
965,6386.06782428,81.5531645908
970,6418.64443615,81.7090914853
975,6451.22950308,81.8720283167
980,6483.81686941,82.0511998255
985,6516.41204386,82.2201165837
990,6549.01717126,82.3757747663
995,6581.62412808,82.5287382324
1000,6614.23368482,82.6897416418
1005,6646.85730203,82.8659052658
1010,6679.49316643,83.0300342431
1015,6712.12680092,83.1820755402
1020,6744.75944967,83.3319093974
1025,6777.40734047,83.4896075348
1030,6810.07100491,83.6620935932
1035,6842.73452894,83.8233251597
1040,6875.39571209,83.9725680729
1045,6908.06828024,84.1190366778
1050,6940.75497834,84.2721588808
1055,6973.44536488,84.4401481904
1060,7006.13827622,84.6002905459
1065,7038.84114967,84.7476425586
1070,7071.5519893,84.8907734955
1075,7104.26473084,85.038467713
1080,7136.98523715,85.1996963974
1085,7169.72041031,85.3607630367
1090,7202.46165815,85.5074849619
1095,7235.19968036,85.6478289413
1100,7267.94376117,85.7899228274
1105,7300.70552474,85.9421684442
1110,7333.47740606,86.1039443022
1115,7366.24711435,86.2518457693
1120,7399.01969116,86.3906649994
1125,7431.80572201,86.5278671803
1130,7464.60181976,86.6712370087
1135,7497.40064163,86.8281267387
1140,7530.20637704,86.9797164108
1145,7563.02347522,87.1190969196
1150,7595.84505568,87.25312198
1155,7628.66740226,87.3888953966
1160,7661.50040887,87.5338484282
1165,7694.34953085,87.6889426999
1170,7727.20379541,87.8318475159
1175,7760.05512807,87.9654462776
1180,7792.91308166,88.0961475391
1185,7825.78696554,88.2307151459
1190,7858.6700246,88.3762004375
1195,7891.55435687,88.5261004705
1200,7924.4450302,88.6630080519
1205,7957.34702589,88.7923559201
1210,7990.25444097,88.9201618513
1215,8023.16435516,89.052830799
1220,8056.085349,89.197014788
1225,8089.02098316,89.3419356028
1230,8121.96071961,89.4746710805
1235,8154.89840166,89.6006281241
1240,8187.84398311,89.7254293646
1245,8220.80567729,89.8550930242
1250,8253.77623296,89.9958688217
1255,8286.74794344,90.1376486469
1260,8319.72599627,90.2676451646
1265,8352.71562529,90.3908345172
1270,8385.71122336,90.5124188033
1275,8418.70923114,90.6379991447
1280,8451.71765746,90.7734243855
1285,8484.74106958,90.9136122449
1290,8517.77011016,91.042272954
1295,8550.7974239,91.1634373665
1300,8583.83106078,91.2818572787
1305,8616.87993526,91.4026791226
1310,8649.93885276,91.5313422884
1315,8683.00007185,91.6694012435
1320,8716.06751297,91.7983758815
1325,8749.14674461,91.9186486996
