time,physical,step_size,total_energy,walltime
0,536481792,0,0,56.521506
0.01,1237114880,0.01,6382.3388038432,64.543364
0.021,1085247488,0.011,5324.7491464889,69.291869
0.0331,994914304,0.0121,4834.9089067571,72.181264
0.04641,1006190592,0.01331,4563.5426014232,75.85699
0.061051,1100156928,0.014641,4382.1267781707,79.895802
0.0742279,1186222080,0.0131769,4268.1378821087,84.42121
0.08608711,1181736960,0.01185921,4187.6349762469,89.051938
0.099132241,1183186944,0.013045131,4114.4675316081,93.829401
0.1134818851,1173385216,0.0143496441,4046.9477755487,98.492181
0.12926649361,1173188608,0.01578460851,3984.9606089271,103.190422
0.146629562971,1213526016,0.017363069361,3926.0953579806,107.537758
0.1657289392681,1186504704,0.0190993762971,3870.4623028682,111.715407
0.18673825319491,1165926400,0.02100931392681,3817.465806262,115.680215
0.2098484985144,1185792000,0.023110245319491,3767.868623241,119.645213
0.23526976836584,1198051328,0.02542126985144,3721.2646328841,123.430682
0.26323316520243,1192546304,0.027963396836584,3678.425833903,127.255823
0.29399290172267,1195737088,0.030759736520243,3638.9956890817,130.969374
0.32782861189493,1176444928,0.033835710172267,3602.3286227208,134.440862
0.36504789308443,1187389440,0.037219281189493,3570.9004580089,137.636911
0.40598910239287,1197801472,0.040941209308443,3542.0790164007,140.825605
0.45102443263216,1198563328,0.045035330239287,3516.5319901009,143.904304
0.50056329589537,1193357312,0.049538863263216,3494.081630577,146.920241
0.55505604548491,1187495936,0.054492749589537,3472.8776797726,149.660504
0.6149980700334,1186709504,0.059942024548491,3452.5688523801,152.378537
0.68093429703674,1191108608,0.06593622700334,3432.3504397027,155.442856
0.75346414674042,1154367488,0.072529849703674,3411.7492170775,158.208385
0.83324698141446,1169330176,0.079782834674042,3389.7596230749,161.149237
0.9210080995559,1160970240,0.087761118141446,3366.5989652601,163.995475
1.0175453295115,1158316032,0.09653722995559,3342.8254482839,166.751414
1.1237362824626,1168015360,0.10619095295115,3318.0499088594,169.481111
1.2405463307089,1170067456,0.11681004824626,3290.8583186694,171.81229
1.3690373837798,1182048256,0.12849105307089,3262.1747833106,174.273708
1.5103775421578,1199722496,0.14134015837798,3229.593568312,176.635556
1.6658517163736,1180246016,0.15547417421578,3194.7318661329,179.508143
1.8057784731678,1192542208,0.1399267567942,3162.7911581098,181.861061
1.9317125542825,1206222848,0.12593408111478,3134.7755418736,184.275027
2.0450532272858,1188409344,0.1133406730033,3109.6810207253,186.610211
2.1697279675895,1176113152,0.12467474030363,3082.1518170351,189.049066
