time,free_energy,elastic_energy,grad_energy,precip_area,a10
205,14.0585000375,3.09840375892,2.9302498881,1286.66735132,20.0048560238
210,14.0564082981,3.09960830734,2.930926395,1287.1827255,20.006189891
215,14.0543291996,3.10080593347,2.93159706688,1287.694968,20.0075367684
220,14.0522622961,3.101996851,2.93226213547,1288.20418036,20.0088958707
225,14.0502071678,3.10318126134,2.9329218142,1288.7104586,20.0102664371
230,14.0481634188,3.10435935466,2.93357629979,1289.21389362,20.0116477327
235,14.0461306761,3.10553131085,2.93422577381,1289.7145716,20.0130390499
240,14.0441085878,3.10669730033,2.934870404,1290.21257426,20.0144397095
245,14.0420968217,3.10785748479,2.93551034542,1290.70797924,20.0158490611
250,14.040095064,3.10901201792,2.9361457416,1291.20086033,20.0172664836
255,14.0381030185,3.11016104597,2.93677672547,1291.69128774,20.0186913862
260,14.0361204051,3.11130470836,2.93740342026,1292.17932831,20.0201232077
265,14.0341469592,3.11244313812,2.93802594031,1292.66504575,20.0215614167
270,14.0321824307,3.11357646244,2.93864439184,1293.14850081,20.0230055119
275,14.0302265828,3.11470480299,2.93925887361,1293.62975147,20.0244550213
280,14.0282791918,3.11582827637,2.93986947755,1294.10885311,20.0259095023
285,14.026340046,3.11694699444,2.94047628936,1294.58585866,20.0273685406
290,14.0244089451,3.11806106461,2.94107938906,1295.06081871,20.0288317505
295,14.0224856995,3.11917059016,2.94167885148,1295.53378169,20.0302987737
300,14.02057013,3.12027567051,2.94227474671,1296.00479398,20.031769279
305,14.0186620666,3.12137640141,2.9428671406,1296.47389998,20.0332429612
310,14.0167613489,3.12247287522,2.94345609511,1296.94114227,20.0347195409
315,14.0148678246,3.12356518109,2.94404166873,1297.40656167,20.0361987632
320,14.0129813498,3.12465340513,2.94462391681,1297.87019736,20.0376803973
325,14.0111017881,3.12573763061,2.9452028919,1298.33208694,20.0391642354
330,14.0092290103,3.12681793808,2.94577864406,1298.79226654,20.040650092
335,14.0073628941,3.12789440554,2.94635122116,1299.25077086,20.0421378028
340,14.0055033236,3.12896710856,2.94692066912,1299.70763326,20.043627224
345,14.003650189,3.13003612042,2.94748703215,1300.16288583,20.0451182316
350,14.0018033861,3.13110151218,2.94805035299,1300.61655946,20.0466107199
355,13.9999628163,3.13216335281,2.94861067313,1301.06868385,20.0481046011
360,13.9981283857,3.1332217093,2.94916803294,1301.51928765,20.0495998042
365,13.9963000056,3.13427664669,2.9497224719,1301.96839842,20.0510962742
370,13.9944775914,3.13532822822,2.95027402868,1302.41604276,20.052593971
375,13.992661063,3.13637651533,2.95082274135,1302.86224631,20.0540928688
380,13.9908503441,3.1374215678,2.95136864743,1303.3070338,20.0555929547
385,13.9890453622,3.13846344376,2.95191178403,1303.7504291,20.0570942286
390,13.9872460482,3.13950219975,2.95245218793,1304.19245527,20.0585967016
395,13.9854523362,3.14053789082,2.95298989563,1304.63313458,20.0601003956
400,13.9836641635,3.14157057053,2.95352494345,1305.07248856,20.0616053424
