x,velocity_x,velocity_y,pressure
14.75,0.00480155721837,7.43582664172e-12,0.130466306186
14.85,0.00480156859345,5.68399654529e-12,0.130265870828
14.95,0.00480161555697,7.50755789704e-12,0.13006543323
15.05,0.0048016256199,5.62267247043e-12,0.129864997951
15.15,0.00480167394519,7.58414031673e-12,0.129664560269
15.25,0.00480168259775,5.55596362918e-12,0.129464125074
15.35,0.00480173238664,7.66559834047e-12,0.129263687303
15.45,0.00480173952323,5.48312801259e-12,0.1290632522
15.55,0.0048017908852,7.75213319786e-12,0.128862814332
15.65,0.00480179639234,5.40368356098e-12,0.128662379327
15.75,0.00480184944503,7.84405358926e-12,0.128461941357
15.85,0.00480185320075,5.3168743374e-12,0.128261506457
15.95,0.00480190807061,7.94173756042e-12,0.128061068375
16.05,0.00480190994383,5.22244701825e-12,0.127860633588
16.15,0.00480196676675,8.04579196895e-12,0.127660195388
16.25,0.00480196661658,5.11962134589e-12,0.127459760723
16.35,0.00480202553863,8.15663997115e-12,0.127259322395
16.45,0.00480202321364,5.00789088916e-12,0.127058887861
16.55,0.0048020843918,8.27493354282e-12,0.126858449396
16.65,0.00480207972926,4.8866763924e-12,0.126658015001
16.75,0.00480214333223,8.4014772257e-12,0.126457576389
16.85,0.00480213615724,4.75543323928e-12,0.126257142146
16.95,0.00480220236634,8.53689879659e-12,0.126056703376
17.05,0.00480219249094,4.61326664473e-12,0.125856269295
17.15,0.00480226150102,8.68185379673e-12,0.125655830355
17.25,0.0048022487232,4.45933031588e-12,0.125455396448
17.35,0.00480232074367,8.83711567074e-12,0.125254957326
17.45,0.00480230484635,4.29281605442e-12,0.125054523606
17.55,0.00480238010227,9.0037595174e-12,0.124854084289
17.65,0.00480236085214,4.11292255697e-12,0.12465365077
17.75,0.00480243958535,9.18263167157e-12,0.124453211243
17.85,0.00480241673171,3.91839084759e-12,0.124252777939
17.95,0.0048024992021,9.37474838906e-12,0.124052338188
18.05,0.00480247247553,3.7080971015e-12,0.123851905115
18.15,0.0048025589624,9.58104276689e-12,0.123651465122
18.25,0.00480252807337,3.48080996266e-12,0.123451032298
18.35,0.00480261887685,9.80280158383e-12,0.123250592046
18.45,0.00480258351425,3.23514546566e-12,0.123050159489
18.55,0.00480267895683,1.00411175246e-11,0.122849718959
18.65,0.00480263878636,2.96924111998e-12,0.122649286688
18.75,0.00480273921459,1.02971422673e-11,0.12244884586
18.85,0.00480269387702,2.68171974416e-12,0.122248413896
18.95,0.00480279966326,1.05724609396e-11,0.122047972748
19.05,0.0048027487726,2.37041010757e-12,0.121847541114
19.15,0.00480286031695,1.0868419509e-11,0.121647099623
19.25,0.0048028034585,2.0333315721e-12,0.121446668342
19.35,0.00480292119083,1.11866205832e-11,0.121246226484
19.45,0.00480285791898,1.66822602381e-12,0.121045795582
19.55,0.00480298230116,1.15287153887e-11,0.120845353329
19.65,0.0048029121372,1.27249544481e-12,0.120644922834
19.75,0.00480304366544,1.18967678426e-11,0.120444480159
19.85,0.00480296609503,8.43271239746e-13,0.120244050099
19.95,0.00480310530242,1.22925368336e-11,0.120043606971
20.05,0.00480301977303,3.77441958523e-13,0.119843177379
20.15,0.00480316723225,1.27182424992e-11,0.119642733766
20.25,0.00480307315033,-1.28322446275e-13,0.119442304674
20.35,0.00480322947657,1.31761536282e-11,0.119241860542
20.45,0.00480312620452,-6.77813355167e-13,0.119041431985
20.55,0.00480329205857,1.36690523065e-11,0.118840987297
20.65,0.00480317891154,-1.27513093915e-12,0.118640559314
20.75,0.00480335500319,1.41998039744e-11,0.118440114031
20.85,0.00480323124559,-1.92463216503e-12,0.118239686662
20.95,0.00480341833714,1.47719157105e-11,0.118039240742
21.05,0.00480328317898,-2.63064993593e-12,0.11783881403
21.15,0.00480348208913,1.53894253066e-11,0.117638367429
21.25,0.00480333468198,-3.39816234304e-12,0.117437941419
21.35,0.00480354628991,1.6057050409e-11,0.117237494091
21.45,0.00480338572275,-4.23191538268e-12,0.117037068832
21.55,0.00480361097249,1.67807572608e-11,0.116836620726
21.65,0.00480343626709,-5.13639520066e-12,0.116636196269
21.75,0.00480367617228,1.75680694062e-11,0.116435747332
21.85,0.00480348627837,-6.11544315549e-12,0.116235323731
21.95,0.0048037419272,1.84286642419e-11,0.116034873909
22.05,0.0048035357173,-7.17177722332e-12,0.115834451222
22.15,0.00480380827795,1.93752192942e-11,0.115634000454
22.25,0.00480358454179,-8.30610763084e-12,0.115433578741
22.35,0.00480387526811,2.04245498589e-11,0.115233126966
22.45,0.00480363270673,-9.51560393037e-12,0.115032706291
22.55,0.0048039429444,2.15997697535e-11,0.114832253444
22.65,0.00480368016381,-1.07926844813e-11,0.114631833873
22.75,0.00480401135685,2.29319181627e-11,0.114431379885
22.85,0.00480372686132,-1.21218499112e-11,0.11423096149
22.95,0.00480408055902,2.44637124763e-11,0.114030506288
23.05,0.0048037727439,-1.34767417691e-11,0.113830089142
23.15,0.00480415060828,2.62538077315e-11,0.113629632652
23.25,0.00480381775233,-1.48150473078e-11,0.113429216831
23.35,0.00480422156601,2.83830574374e-11,0.113228758975
23.45,0.0048038618233,-1.60718536615e-11,0.113028344558
23.55,0.00480429349786,3.09623771206e-11,0.112827885256
23.65,0.00480390488912,-1.7150417785e-11,0.112627472325
23.75,0.00480436647406,3.41441528904e-11,0.112427011493
23.85,0.00480394687753,-1.79096201525e-11,0.112226600133
23.95,0.00480444056968,3.81374589057e-11,0.112026137686
24.05,0.00480398771141,-1.81476163852e-11,0.111825727982
24.15,0.00480451586493,4.3227798522e-11,0.111625263834
24.25,0.00480402730848,-1.75784887552e-11,0.111424855873
24.35,0.00480459244552,4.98046712992e-11,0.111224389936
24.45,0.00480406558113,-1.58020253031e-11,0.111023983805
24.55,0.00480467040291,5.83972613368e-11,0.110823515992
24.65,0.00480410243607,-1.22630605349e-11,0.110623111779
24.75,0.00480474983477,6.9722635099e-11,0.110422642003
24.85,0.00480413777415,-6.1972483404e-12,0.110222239791
24.95,0.00480483084527,8.47494846357e-11,0.110021767969
25.05,0.0048041714901,3.44167651793e-12,0.10982136784
25.15,0.00480491354549,1.04782890714e-10,0.109620893893
25.25,0.00480420347236,1.80776034111e-11,0.109420495921
25.35,0.00480499805386,1.31575976315e-10,0.109220019775
25.45,0.00480423360288,3.96388772122e-11,0.109019624028
