y,velocity_x,velocity_y,pressure
0.05,0.000296398557038,-8.50752949209e-12,0.640899912056
0.15,0.000876786927041,-6.61291294175e-12,0.630899912145
0.25,0.00143715928696,-2.2708623587e-11,0.620899912007
0.35,0.00197751571409,-4.20438063877e-11,0.610899911923
0.45,0.00249785631773,-6.29177904325e-11,0.600899911881
0.55,0.0029981812363,-8.58217004882e-11,0.590899911847
0.65,0.0034784906333,-1.08877449974e-10,0.580899911829
0.75,0.0039387846937,-1.3107510313e-10,0.570899911828
0.85,0.00437906362056,-1.51429337253e-10,0.560899911843
0.95,0.00479932763175,-1.69427255554e-10,0.550899911871
1.05,0.00519957695681,-1.84356780476e-10,0.540899911911
1.15,0.00557981183394,-1.96068820077e-10,0.530899911964
1.25,0.00594003250717,-2.04194507615e-10,0.520899912025
1.35,0.00628023922364,-2.08882096582e-10,0.510899912096
1.45,0.00660043223104,-2.10026576109e-10,0.500899912173
1.55,0.00690061177514,-2.08000582505e-10,0.490899912256
1.65,0.00718077809756,-2.02878807258e-10,0.480899912343
1.75,0.00744093143357,-1.95169223853e-10,0.470899912431
1.85,0.00768107201011,-1.85037866501e-10,0.460899912521
1.95,0.00790120004391,-1.73042128826e-10,0.450899912609
2.05,0.00810131573976,-1.59358605371e-10,0.440899912696
2.15,0.00828141928892,-1.4452149029e-10,0.430899912778
2.25,0.00844151086768,-1.28656249899e-10,0.420899912855
2.35,0.00858159063603,-1.1222363415e-10,0.410899912926
2.45,0.00870165873654,-9.52600082825e-11,0.400899912988
2.55,0.00880171529331,-7.81290454891e-11,0.390899913042
2.65,0.00888176041108,-6.07687904312e-11,0.380899913087
2.75,0.00894179417454,-4.34495779266e-11,0.370899913121
2.85,0.00898181664772,-2.60272531965e-11,0.360899913144
2.95,0.00900182787354,-8.70566738873e-12,0.350899913155
3.05,0.00900182787354,8.70578518772e-12,0.340899913155
3.15,0.00898181664772,2.6027312096e-11,0.330899913144
3.25,0.00894179417454,4.34497165136e-11,0.320899913121
3.35,0.00888176041108,6.07688701188e-11,0.310899913087
3.45,0.00880171529331,7.81291251766e-11,0.300899913042
3.55,0.00870165873654,9.52600221412e-11,0.290899912988
3.65,0.00858159063603,1.12223654938e-10,0.280899912926
3.75,0.00844151086768,1.28656281081e-10,0.270899912855
3.85,0.00828141928892,1.44521504148e-10,0.260899912778
3.95,0.00810131573976,1.5935845639e-10,0.250899912696
4.05,0.00790120004391,1.73041965986e-10,0.240899912609
4.15,0.00768107201011,1.85037714055e-10,0.230899912521
4.25,0.00744093143357,1.9516915456e-10,0.220899912431
4.35,0.00718077809756,2.02878734499e-10,0.210899912342
4.45,0.00690061177514,2.08000627546e-10,0.200899912256
4.55,0.00660043223104,2.10026617685e-10,0.190899912173
4.65,0.00628023922364,2.0888222824e-10,0.180899912096
4.75,0.00594003250717,2.04194677384e-10,0.170899912025
4.85,0.00557981183394,1.96068993311e-10,0.160899911964
4.95,0.00519957695681,1.84356856699e-10,0.150899911911
5.05,0.00479932763175,1.69427369889e-10,0.140899911871
5.15,0.00437906362056,1.51429451588e-10,0.130899911843
5.25,0.0039387846937,1.31075134312e-10,0.120899911828
5.35,0.0034784906333,1.08877508873e-10,0.110899911829
5.45,0.0029981812363,8.58217420643e-11,0.100899911847
5.55,0.00249785631773,6.29178701201e-11,0.0908999118814
5.65,0.00197751571409,4.20438514285e-11,0.080899911923
5.75,0.00143715928696,2.27086824865e-11,0.0708999120068
5.85,0.000876786927041,6.61291294175e-12,0.0608999121451
5.95,0.000296398557038,8.50750177468e-12,0.0508999120563
